time_iso8601,forks_cumulative
2024-03-29 00:00:00+00:00,37242
2024-03-30 00:00:00+00:00,37279
2024-03-31 00:00:00+00:00,37309
2024-04-01 00:00:00+00:00,37354
2024-04-02 00:00:00+00:00,37392
2024-04-03 00:00:00+00:00,37437
2024-04-04 00:00:00+00:00,37474
2024-04-05 00:00:00+00:00,37498
2024-04-06 00:00:00+00:00,37521
2024-04-07 00:00:00+00:00,37553
2024-04-08 00:00:00+00:00,37586
2024-04-09 00:00:00+00:00,37608
2024-04-10 00:00:00+00:00,37645
2024-04-11 00:00:00+00:00,37673
2024-04-12 00:00:00+00:00,37699
2024-04-13 00:00:00+00:00,37724
2024-04-14 00:00:00+00:00,37748
2024-04-15 00:00:00+00:00,37786
2024-04-16 00:00:00+00:00,37839
2024-04-17 00:00:00+00:00,37889
2024-04-18 00:00:00+00:00,37942
2024-04-19 00:00:00+00:00,37971
2024-04-20 00:00:00+00:00,37994
2024-04-21 00:00:00+00:00,38024
2024-04-22 00:00:00+00:00,38065
2024-04-23 00:00:00+00:00,38117
2024-04-24 00:00:00+00:00,38156
2024-04-25 00:00:00+00:00,38181
2024-04-26 00:00:00+00:00,38202
2024-04-27 00:00:00+00:00,38229
2024-04-28 00:00:00+00:00,38253
2024-04-29 00:00:00+00:00,38284
2024-04-30 00:00:00+00:00,38318
2024-05-01 00:00:00+00:00,38345
2024-05-02 00:00:00+00:00,38371
2024-05-03 00:00:00+00:00,38391
2024-05-04 00:00:00+00:00,38416
2024-05-05 00:00:00+00:00,38436
2024-05-06 00:00:00+00:00,38459
2024-05-07 00:00:00+00:00,38498
2024-05-08 00:00:00+00:00,38528
2024-05-09 00:00:00+00:00,38549
2024-05-10 00:00:00+00:00,38570
2024-05-11 00:00:00+00:00,38597
2024-05-12 00:00:00+00:00,38618
2024-05-13 00:00:00+00:00,38645
2024-05-14 00:00:00+00:00,38675
2024-05-15 00:00:00+00:00,38718
2024-05-16 00:00:00+00:00,38763
2024-05-17 00:00:00+00:00,38792
2024-05-18 00:00:00+00:00,38818
2024-05-19 00:00:00+00:00,38857
2024-05-20 00:00:00+00:00,38887
2024-05-21 00:00:00+00:00,38925
